"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"27467","\N","000000027467","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27468","\N","000000027468","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27469","\N","000000027469","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27470","\N","000000027470","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21954","5387","000000021954","\N","10","23","4","3734","","2019-12-31 00:00:00","\N","\N","134","2013"
"21635","5379","000000021635","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"21289","5351","000000021289","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"22856","5303","000000022856","\N","10","23","4","3729","","2028-12-31 00:00:00","\N","\N","160","2008"
"22857","5305","000000022857","\N","10","23","4","3729","","2030-12-31 00:00:00","\N","\N","160","2010"
"22858","5394","000000022858","\N","10","23","4","3729","","2027-12-31 00:00:00","\N","\N","160","2007"
"21691","5380","000000021691","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"22860","5371","000000022860","\N","10","23","4","3729","","2031-12-31 00:00:00","\N","\N","160","2011"
"22861","5340","000000022861","\N","10","23","4","3729","","2032-12-31 00:00:00","\N","\N","160","2012"
"25301","\N","000000025301","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22862","5310","000000022862","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"25302","\N","000000025302","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21290","5381","000000021290","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"22863","5311","000000022863","\N","10","23","4","3729","","2032-12-31 00:00:00","\N","\N","160","2012"
"22864","5308","000000022864","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"21277","5401","000000021277","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"25304","\N","000000025304","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22865","5309","000000022865","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"21666","5378","000000021666","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"25305","\N","000000025305","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22866","5341","000000022866","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"22163","5906","000000022163","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"27471","\N","000000027471","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25306","\N","000000025306","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25307","\N","000000025307","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22868","5306","000000022868","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"22165","5910","000000022165","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"22869","5309","000000022869","\N","10","23","4","3729","","2033-12-31 00:00:00","\N","\N","160","2013"
"27472","\N","000000027472","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25308","\N","000000025308","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22171","5907","000000022171","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"25309","\N","000000025309","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24859","\N","000000024859","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24860","\N","000000024860","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24861","\N","000000024861","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24862","\N","000000024862","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24336","\N","000000024336","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
